action_idx,action_name,hhi_t,horizon,kappa,lambda_t,loss_section,method,series_id,t
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M809,0.0
1.0,OGDVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M809,1.0
2.0,MWUMVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M809,2.0
3.0,OGDBoth,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M809,3.0
4.0,OGDConcOnly,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M809,4.0
5.0,MWUMBothKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M809,5.0
6.0,MWUMConcOnlyKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M809,6.0
4.0,OGDConcOnly,1.0,0.0,nan,nan,mse,RLRuleBandit,M809,7.0
4.0,OGDConcOnly,0.5,0.0,nan,nan,mse,RLRuleBandit,M809,8.0
5.0,MWUMBothKL,0.27484471197571075,0.0,nan,nan,mse,RLRuleBandit,M809,9.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M809,10.0
6.0,MWUMConcOnlyKL,0.9999999998496873,0.0,nan,nan,mse,RLRuleBandit,M809,11.0
6.0,MWUMConcOnlyKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M809,12.0
6.0,MWUMConcOnlyKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M809,13.0
6.0,MWUMConcOnlyKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M809,14.0
6.0,MWUMConcOnlyKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M809,15.0
6.0,MWUMConcOnlyKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M809,16.0
6.0,MWUMConcOnlyKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M809,17.0
0.0,kappa_idx,0.041666666666666664,0.0,0.01,0.0015067153097520223,mse,RLKappaBandit,M809,0.0
1.0,kappa_idx,1.0,0.0,0.03,0.004727841788102242,mse,RLKappaBandit,M809,1.0
2.0,kappa_idx,1.0,0.0,0.1,0.016941703276190764,mse,RLKappaBandit,M809,2.0
3.0,kappa_idx,1.0,0.0,0.3,0.05869404869281625,mse,RLKappaBandit,M809,3.0
4.0,kappa_idx,1.0,0.0,1.0,0.2204971479896856,mse,RLKappaBandit,M809,4.0
5.0,kappa_idx,0.5,0.0,3.0,0.7566225843212783,mse,RLKappaBandit,M809,5.0
6.0,kappa_idx,0.48344945250073484,0.0,8.0,2.305956867756151,mse,RLKappaBandit,M809,6.0
5.0,kappa_idx,0.979131942580503,0.0,3.0,0.9790379358705382,mse,RLKappaBandit,M809,7.0
6.0,kappa_idx,1.0,0.0,8.0,2.915244869777418,mse,RLKappaBandit,M809,8.0
6.0,kappa_idx,0.999999999995671,0.0,8.0,3.232995438578814,mse,RLKappaBandit,M809,9.0
4.0,kappa_idx,0.9999999996971938,0.0,1.0,0.44504892229740806,mse,RLKappaBandit,M809,10.0
4.0,kappa_idx,0.9812795586700598,0.0,1.0,0.4862147124469483,mse,RLKappaBandit,M809,11.0
0.0,kappa_idx,1.0,0.0,0.01,0.005286266681813688,mse,RLKappaBandit,M809,12.0
0.0,kappa_idx,1.0,0.0,0.01,0.005718348057486418,mse,RLKappaBandit,M809,13.0
2.0,kappa_idx,1.0,0.0,0.1,0.06141844499939886,mse,RLKappaBandit,M809,14.0
2.0,kappa_idx,1.0,0.0,0.1,0.06597991559742546,mse,RLKappaBandit,M809,15.0
2.0,kappa_idx,1.0,0.0,0.1,0.07026045824933017,mse,RLKappaBandit,M809,16.0
0.0,kappa_idx,1.0,0.0,0.01,0.007459096551360906,mse,RLKappaBandit,M809,17.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,0.0
1.0,OGDVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,1.0
2.0,MWUMVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,2.0
3.0,OGDBoth,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,3.0
4.0,OGDConcOnly,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,4.0
5.0,MWUMBothKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,5.0
6.0,MWUMConcOnlyKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,6.0
1.0,OGDVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M810,7.0
2.0,MWUMVanilla,0.4413027890133819,0.0,nan,nan,mse,RLRuleBandit,M810,8.0
2.0,MWUMVanilla,0.8333431567537812,0.0,nan,nan,mse,RLRuleBandit,M810,9.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,10.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,11.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,12.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,13.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,14.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,15.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M810,16.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M810,17.0
0.0,kappa_idx,0.041666666666666664,0.0,0.01,0.0019363139405515293,mse,RLKappaBandit,M810,0.0
1.0,kappa_idx,1.0,0.0,0.03,0.005928136661357856,mse,RLKappaBandit,M810,1.0
2.0,kappa_idx,1.0,0.0,0.1,0.020626851892951492,mse,RLKappaBandit,M810,2.0
3.0,kappa_idx,1.0,0.0,0.3,0.06658306428876237,mse,RLKappaBandit,M810,3.0
4.0,kappa_idx,1.0,0.0,1.0,0.24022499038546855,mse,RLKappaBandit,M810,4.0
5.0,kappa_idx,0.5,0.0,3.0,0.7941008017747558,mse,RLKappaBandit,M810,5.0
6.0,kappa_idx,0.5,0.0,8.0,2.3419343568477426,mse,RLKappaBandit,M810,6.0
2.0,kappa_idx,0.5,0.0,0.1,0.03254079377682044,mse,RLKappaBandit,M810,7.0
5.0,kappa_idx,1.0,0.0,3.0,1.0862461190824602,mse,RLKappaBandit,M810,8.0
6.0,kappa_idx,0.9998152440011427,0.0,8.0,3.208373271463429,mse,RLKappaBandit,M810,9.0
0.0,kappa_idx,0.863861315120474,0.0,0.01,0.004427855556979201,mse,RLKappaBandit,M810,10.0
0.0,kappa_idx,1.0,0.0,0.01,0.004862064924187428,mse,RLKappaBandit,M810,11.0
0.0,kappa_idx,1.0,0.0,0.01,0.005302913072681326,mse,RLKappaBandit,M810,12.0
0.0,kappa_idx,1.0,0.0,0.01,0.0057569700987832,mse,RLKappaBandit,M810,13.0
0.0,kappa_idx,1.0,0.0,0.01,0.006206530839947535,mse,RLKappaBandit,M810,14.0
0.0,kappa_idx,1.0,0.0,0.01,0.006659636689277131,mse,RLKappaBandit,M810,15.0
0.0,kappa_idx,1.0,0.0,0.01,0.007107961916447806,mse,RLKappaBandit,M810,16.0
0.0,kappa_idx,1.0,0.0,0.01,0.007553491808694352,mse,RLKappaBandit,M810,17.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M811,0.0
1.0,OGDVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M811,1.0
2.0,MWUMVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M811,2.0
3.0,OGDBoth,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M811,3.0
4.0,OGDConcOnly,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M811,4.0
5.0,MWUMBothKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M811,5.0
6.0,MWUMConcOnlyKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M811,6.0
2.0,MWUMVanilla,0.926188359066838,0.0,nan,nan,mse,RLRuleBandit,M811,7.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M811,8.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M811,9.0
1.0,OGDVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M811,10.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M811,11.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M811,12.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M811,13.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M811,14.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M811,15.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M811,16.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M811,17.0
0.0,kappa_idx,0.041666666666666664,0.0,0.01,0.003387060233708927,mse,RLKappaBandit,M811,0.0
1.0,kappa_idx,1.0,0.0,0.03,0.010354684484426694,mse,RLKappaBandit,M811,1.0
2.0,kappa_idx,1.0,0.0,0.1,0.03501327335942322,mse,RLKappaBandit,M811,2.0
3.0,kappa_idx,1.0,0.0,0.3,0.10807006917754164,mse,RLKappaBandit,M811,3.0
4.0,kappa_idx,1.0,0.0,1.0,0.37126370958289956,mse,RLKappaBandit,M811,4.0
5.0,kappa_idx,1.0,0.0,3.0,1.1563607282726276,mse,RLKappaBandit,M811,5.0
6.0,kappa_idx,1.0,0.0,8.0,3.2572875982586376,mse,RLKappaBandit,M811,6.0
2.0,kappa_idx,1.0,0.0,0.1,0.04275245746747022,mse,RLKappaBandit,M811,7.0
5.0,kappa_idx,1.0,0.0,3.0,1.35367088555865,mse,RLKappaBandit,M811,8.0
5.0,kappa_idx,0.9999999868388465,0.0,3.0,1.4327510471599783,mse,RLKappaBandit,M811,9.0
0.0,kappa_idx,0.8273193818144229,0.0,0.01,0.005062687188997245,mse,RLKappaBandit,M811,10.0
0.0,kappa_idx,1.0,0.0,0.01,0.005367299891644555,mse,RLKappaBandit,M811,11.0
0.0,kappa_idx,1.0,0.0,0.01,0.005686069119334796,mse,RLKappaBandit,M811,12.0
0.0,kappa_idx,1.0,0.0,0.01,0.006028522261231881,mse,RLKappaBandit,M811,13.0
6.0,kappa_idx,1.0,0.0,8.0,5.088765358705176,mse,RLKappaBandit,M811,14.0
0.0,kappa_idx,1.0,0.0,0.01,0.00671899071341017,mse,RLKappaBandit,M811,15.0
0.0,kappa_idx,1.0,0.0,0.01,0.007064591226613333,mse,RLKappaBandit,M811,16.0
0.0,kappa_idx,1.0,0.0,0.01,0.007413347109704045,mse,RLKappaBandit,M811,17.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M812,0.0
1.0,OGDVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M812,1.0
2.0,MWUMVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M812,2.0
3.0,OGDBoth,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M812,3.0
4.0,OGDConcOnly,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M812,4.0
5.0,MWUMBothKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M812,5.0
6.0,MWUMConcOnlyKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M812,6.0
1.0,OGDVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M812,7.0
2.0,MWUMVanilla,0.4003688676882721,0.0,nan,nan,mse,RLRuleBandit,M812,8.0
2.0,MWUMVanilla,0.9412333401608685,0.0,nan,nan,mse,RLRuleBandit,M812,9.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M812,10.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M812,11.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M812,12.0
2.0,MWUMVanilla,0.9999999978370715,0.0,nan,nan,mse,RLRuleBandit,M812,13.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M812,14.0
2.0,MWUMVanilla,0.9999999999999076,0.0,nan,nan,mse,RLRuleBandit,M812,15.0
2.0,MWUMVanilla,0.9017956799327852,0.0,nan,nan,mse,RLRuleBandit,M812,16.0
2.0,MWUMVanilla,0.9958135513179807,0.0,nan,nan,mse,RLRuleBandit,M812,17.0
0.0,kappa_idx,0.041666666666666664,0.0,0.01,0.0025210506840108284,mse,RLKappaBandit,M812,0.0
1.0,kappa_idx,1.0,0.0,0.03,0.00794652976311901,mse,RLKappaBandit,M812,1.0
2.0,kappa_idx,1.0,0.0,0.1,0.027087905191134267,mse,RLKappaBandit,M812,2.0
3.0,kappa_idx,1.0,0.0,0.3,0.08570772050865393,mse,RLKappaBandit,M812,3.0
4.0,kappa_idx,1.0,0.0,1.0,0.3001881333419428,mse,RLKappaBandit,M812,4.0
5.0,kappa_idx,1.0,0.0,3.0,0.9641584243671392,mse,RLKappaBandit,M812,5.0
6.0,kappa_idx,0.5,0.0,8.0,2.790359018148907,mse,RLKappaBandit,M812,6.0
2.0,kappa_idx,1.0,0.0,0.1,0.037513134502083836,mse,RLKappaBandit,M812,7.0
0.0,kappa_idx,0.9999996541980165,0.0,0.01,0.004063547903872632,mse,RLKappaBandit,M812,8.0
0.0,kappa_idx,1.0,0.0,0.01,0.004397846947788779,mse,RLKappaBandit,M812,9.0
0.0,kappa_idx,1.0,0.0,0.01,0.004750366223800221,mse,RLKappaBandit,M812,10.0
0.0,kappa_idx,1.0,0.0,0.01,0.005120096130580321,mse,RLKappaBandit,M812,11.0
0.0,kappa_idx,1.0,0.0,0.01,0.0054864106376925825,mse,RLKappaBandit,M812,12.0
0.0,kappa_idx,1.0,0.0,0.01,0.005907746141609925,mse,RLKappaBandit,M812,13.0
0.0,kappa_idx,1.0,0.0,0.01,0.00628120116095287,mse,RLKappaBandit,M812,14.0
0.0,kappa_idx,1.0,0.0,0.01,0.006698281356010663,mse,RLKappaBandit,M812,15.0
0.0,kappa_idx,1.0,0.0,0.01,0.00704236920010666,mse,RLKappaBandit,M812,16.0
0.0,kappa_idx,1.0,0.0,0.01,0.0074349825873136766,mse,RLKappaBandit,M812,17.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M813,0.0
1.0,OGDVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M813,1.0
2.0,MWUMVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M813,2.0
3.0,OGDBoth,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M813,3.0
4.0,OGDConcOnly,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M813,4.0
5.0,MWUMBothKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M813,5.0
6.0,MWUMConcOnlyKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M813,6.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M813,7.0
1.0,OGDVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M813,8.0
1.0,OGDVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M813,9.0
2.0,MWUMVanilla,0.4951761123177099,0.0,nan,nan,mse,RLRuleBandit,M813,10.0
3.0,OGDBoth,1.0,0.0,nan,nan,mse,RLRuleBandit,M813,11.0
1.0,OGDVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M813,12.0
4.0,OGDConcOnly,1.0,0.0,nan,nan,mse,RLRuleBandit,M813,13.0
3.0,OGDBoth,1.0,0.0,nan,nan,mse,RLRuleBandit,M813,14.0
4.0,OGDConcOnly,1.0,0.0,nan,nan,mse,RLRuleBandit,M813,15.0
5.0,MWUMBothKL,0.4858230392123615,0.0,nan,nan,mse,RLRuleBandit,M813,16.0
1.0,OGDVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M813,17.0
0.0,kappa_idx,0.041666666666666664,0.0,0.01,0.0015786880494066628,mse,RLKappaBandit,M813,0.0
1.0,kappa_idx,0.9990625836450782,0.0,0.03,0.004911332995782885,mse,RLKappaBandit,M813,1.0
2.0,kappa_idx,1.0,0.0,0.1,0.0175817166795871,mse,RLKappaBandit,M813,2.0
3.0,kappa_idx,1.0,0.0,0.3,0.0583487317597686,mse,RLKappaBandit,M813,3.0
4.0,kappa_idx,1.0,0.0,1.0,0.21824674224862634,mse,RLKappaBandit,M813,4.0
5.0,kappa_idx,0.9995283810970901,0.0,3.0,0.7421640556013932,mse,RLKappaBandit,M813,5.0
6.0,kappa_idx,0.5003831470767363,0.0,8.0,2.2475117673029277,mse,RLKappaBandit,M813,6.0
1.0,kappa_idx,0.9999999831471591,0.0,0.03,0.009530369050126542,mse,RLKappaBandit,M813,7.0
2.0,kappa_idx,1.0,0.0,0.1,0.03585615825409138,mse,RLKappaBandit,M813,8.0
3.0,kappa_idx,1.0,0.0,0.3,0.12031114403380569,mse,RLKappaBandit,M813,9.0
0.0,kappa_idx,1.0,0.0,0.01,0.004446868400832786,mse,RLKappaBandit,M813,10.0
6.0,kappa_idx,1.0,0.0,8.0,3.9079164062990395,mse,RLKappaBandit,M813,11.0
2.0,kappa_idx,1.0,0.0,0.1,0.053279298276583585,mse,RLKappaBandit,M813,12.0
5.0,kappa_idx,1.0,0.0,3.0,1.7294450803901853,mse,RLKappaBandit,M813,13.0
4.0,kappa_idx,1.0,0.0,1.0,0.6198029944185577,mse,RLKappaBandit,M813,14.0
1.0,kappa_idx,1.0,0.0,0.03,0.019893101145970454,mse,RLKappaBandit,M813,15.0
3.0,kappa_idx,1.0,0.0,0.3,0.2117210211892279,mse,RLKappaBandit,M813,16.0
0.0,kappa_idx,1.0,0.0,0.01,0.007485499430926927,mse,RLKappaBandit,M813,17.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M814,0.0
1.0,OGDVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M814,1.0
2.0,MWUMVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M814,2.0
3.0,OGDBoth,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M814,3.0
4.0,OGDConcOnly,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M814,4.0
5.0,MWUMBothKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M814,5.0
6.0,MWUMConcOnlyKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M814,6.0
3.0,OGDBoth,1.0,0.0,nan,nan,mse,RLRuleBandit,M814,7.0
3.0,OGDBoth,1.0,0.0,nan,nan,mse,RLRuleBandit,M814,8.0
5.0,MWUMBothKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M814,9.0
3.0,OGDBoth,1.0,0.0,nan,nan,mse,RLRuleBandit,M814,10.0
5.0,MWUMBothKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M814,11.0
4.0,OGDConcOnly,1.0,0.0,nan,nan,mse,RLRuleBandit,M814,12.0
4.0,OGDConcOnly,1.0,0.0,nan,nan,mse,RLRuleBandit,M814,13.0
5.0,MWUMBothKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M814,14.0
4.0,OGDConcOnly,1.0,0.0,nan,nan,mse,RLRuleBandit,M814,15.0
4.0,OGDConcOnly,1.0,0.0,nan,nan,mse,RLRuleBandit,M814,16.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M814,17.0
0.0,kappa_idx,0.041666666666666664,0.0,0.01,0.005893537102551018,mse,RLKappaBandit,M814,0.0
1.0,kappa_idx,1.0,0.0,0.03,0.01803756247929073,mse,RLKappaBandit,M814,1.0
2.0,kappa_idx,1.0,0.0,0.1,0.0597919938228851,mse,RLKappaBandit,M814,2.0
3.0,kappa_idx,1.0,0.0,0.3,0.1818334229107073,mse,RLKappaBandit,M814,3.0
4.0,kappa_idx,1.0,0.0,1.0,0.6052616631391811,mse,RLKappaBandit,M814,4.0
5.0,kappa_idx,1.0,0.0,3.0,1.8394881631190254,mse,RLKappaBandit,M814,5.0
6.0,kappa_idx,1.0,0.0,8.0,5.208965704021336,mse,RLKappaBandit,M814,6.0
5.0,kappa_idx,1.0,0.0,3.0,1.9938047043365519,mse,RLKappaBandit,M814,7.0
2.0,kappa_idx,1.0,0.0,0.1,0.06571489895673772,mse,RLKappaBandit,M814,8.0
5.0,kappa_idx,1.0,0.0,3.0,1.936333156837141,mse,RLKappaBandit,M814,9.0
2.0,kappa_idx,1.0,0.0,0.1,0.0639678509129046,mse,RLKappaBandit,M814,10.0
5.0,kappa_idx,1.0,0.0,3.0,1.9031740861295068,mse,RLKappaBandit,M814,11.0
5.0,kappa_idx,1.0,0.0,3.0,1.9059485077672913,mse,RLKappaBandit,M814,12.0
5.0,kappa_idx,1.0,0.0,3.0,1.9535364324198865,mse,RLKappaBandit,M814,13.0
5.0,kappa_idx,1.0,0.0,3.0,1.940793681879814,mse,RLKappaBandit,M814,14.0
3.0,kappa_idx,1.0,0.0,0.3,0.20090304604748954,mse,RLKappaBandit,M814,15.0
5.0,kappa_idx,1.0,0.0,3.0,2.031177406921244,mse,RLKappaBandit,M814,16.0
4.0,kappa_idx,1.0,0.0,1.0,0.7006805519386541,mse,RLKappaBandit,M814,17.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M815,0.0
1.0,OGDVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M815,1.0
2.0,MWUMVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M815,2.0
3.0,OGDBoth,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M815,3.0
4.0,OGDConcOnly,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M815,4.0
5.0,MWUMBothKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M815,5.0
6.0,MWUMConcOnlyKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M815,6.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M815,7.0
1.0,OGDVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M815,8.0
1.0,OGDVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M815,9.0
1.0,OGDVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M815,10.0
1.0,OGDVanilla,0.3505968309333264,0.0,nan,nan,mse,RLRuleBandit,M815,11.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M815,12.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M815,13.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M815,14.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M815,15.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M815,16.0
6.0,MWUMConcOnlyKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M815,17.0
0.0,kappa_idx,0.041666666666666664,0.0,0.01,0.001336668977017766,mse,RLKappaBandit,M815,0.0
1.0,kappa_idx,1.0,0.0,0.03,0.004400512514609766,mse,RLKappaBandit,M815,1.0
2.0,kappa_idx,1.0,0.0,0.1,0.016819840123258375,mse,RLKappaBandit,M815,2.0
3.0,kappa_idx,1.0,0.0,0.3,0.05680025938341056,mse,RLKappaBandit,M815,3.0
4.0,kappa_idx,1.0,0.0,1.0,0.21612162795799816,mse,RLKappaBandit,M815,4.0
5.0,kappa_idx,1.0,0.0,3.0,0.7432197934940385,mse,RLKappaBandit,M815,5.0
6.0,kappa_idx,1.0,0.0,8.0,2.256277999777803,mse,RLKappaBandit,M815,6.0
0.0,kappa_idx,1.0,0.0,0.01,0.0031980920408259646,mse,RLKappaBandit,M815,7.0
0.0,kappa_idx,1.0,0.0,0.01,0.0035905218991710416,mse,RLKappaBandit,M815,8.0
6.0,kappa_idx,1.0,0.0,8.0,3.195995422234724,mse,RLKappaBandit,M815,9.0
0.0,kappa_idx,1.0,0.0,0.01,0.004414687631788873,mse,RLKappaBandit,M815,10.0
0.0,kappa_idx,1.0,0.0,0.01,0.004839621000351086,mse,RLKappaBandit,M815,11.0
0.0,kappa_idx,1.0,0.0,0.01,0.0052714893071535525,mse,RLKappaBandit,M815,12.0
0.0,kappa_idx,1.0,0.0,0.01,0.005703050362454013,mse,RLKappaBandit,M815,13.0
6.0,kappa_idx,1.0,0.0,8.0,4.914683770172682,mse,RLKappaBandit,M815,14.0
2.0,kappa_idx,1.0,0.0,0.1,0.06575489771070687,mse,RLKappaBandit,M815,15.0
5.0,kappa_idx,1.0,0.0,3.0,2.1001865552004433,mse,RLKappaBandit,M815,16.0
4.0,kappa_idx,1.0,0.0,1.0,0.7425922618598304,mse,RLKappaBandit,M815,17.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M816,0.0
1.0,OGDVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M816,1.0
2.0,MWUMVanilla,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M816,2.0
3.0,OGDBoth,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M816,3.0
4.0,OGDConcOnly,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M816,4.0
5.0,MWUMBothKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M816,5.0
6.0,MWUMConcOnlyKL,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M816,6.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M816,7.0
1.0,OGDVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M816,8.0
5.0,MWUMBothKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M816,9.0
2.0,MWUMVanilla,1.0,0.0,nan,nan,mse,RLRuleBandit,M816,10.0
6.0,MWUMConcOnlyKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M816,11.0
4.0,OGDConcOnly,1.0,0.0,nan,nan,mse,RLRuleBandit,M816,12.0
3.0,OGDBoth,1.0,0.0,nan,nan,mse,RLRuleBandit,M816,13.0
0.0,Mean,0.041666666666666664,0.0,nan,nan,mse,RLRuleBandit,M816,14.0
5.0,MWUMBothKL,0.999999999997919,0.0,nan,nan,mse,RLRuleBandit,M816,15.0
5.0,MWUMBothKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M816,16.0
5.0,MWUMBothKL,1.0,0.0,nan,nan,mse,RLRuleBandit,M816,17.0
0.0,kappa_idx,0.041666666666666664,0.0,0.01,0.0009497381263057364,mse,RLKappaBandit,M816,0.0
1.0,kappa_idx,1.0,0.0,0.03,0.003095170732691944,mse,RLKappaBandit,M816,1.0
2.0,kappa_idx,1.0,0.0,0.1,0.01191322811145759,mse,RLKappaBandit,M816,2.0
3.0,kappa_idx,1.0,0.0,0.3,0.04281201167167192,mse,RLKappaBandit,M816,3.0
4.0,kappa_idx,1.0,0.0,1.0,0.1695119199099534,mse,RLKappaBandit,M816,4.0
5.0,kappa_idx,1.0,0.0,3.0,0.6040632373088303,mse,RLKappaBandit,M816,5.0
6.0,kappa_idx,1.0,0.0,8.0,1.9065142503630808,mse,RLKappaBandit,M816,6.0
0.0,kappa_idx,1.0,0.0,0.01,0.002794394547988376,mse,RLKappaBandit,M816,7.0
2.0,kappa_idx,1.0,0.0,0.1,0.032329435664529095,mse,RLKappaBandit,M816,8.0
